folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 2

P: 0.9889
R: 0.3504
F: 0.5174
AUC: 0.8578
P4C1: 0.2963
R4C1: 0.3636
F4C1: 0.3265
P4C2: 0.3636
R4C2: 0.0563
F4C2: 0.0976
P4C3: 0.8000
R4C3: 0.1439
F4C3: 0.2439
MacroP: 0.4866
MacroR: 0.1880
MacroF: 0.2227
FFF: 0.3113

257.34276270866394

