batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 3
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.9297
R: 0.9370
F: 0.9333
AUC: 0.9836
P4C1: 0.5455
R4C1: 0.5455
F4C1: 0.5455
P4C2: 0.7714
R4C2: 0.7606
F4C2: 0.7660
P4C3: 0.7958
R4C3: 0.8129
F4C3: 0.8043
MacroP: 0.7042
MacroR: 0.7063
MacroF: 0.7052
FFF: 0.8034

cost time: 199.38043999671936

