folder: data/VG_data
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 6

P: 0.0346
R: 0.0346
F: 0.0346
AUC: 0.2550
P4C1: 0.0000
R4C1: 0.0000
F4C1: 0.0000
P4C2: 0.0104
R4C2: 0.0088
F4C2: 0.0096
P4C3: 0.0019
R4C3: 0.0145
F4C3: 0.0033
MacroP: 0.0041
MacroR: 0.0078
MacroF: 0.0043
FFF: 0.0076

total time: 169.37031412124634

