batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 5
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.9526
R: 0.9488
F: 0.9507
AUC: 0.9882
P4C1: 0.7105
R4C1: 0.6136
F4C1: 0.6585
P4C2: 0.8333
R4C2: 0.7746
F4C2: 0.8029
P4C3: 0.8054
R4C3: 0.8633
F4C3: 0.8333
MacroP: 0.7831
MacroR: 0.7505
MacroF: 0.7649
FFF: 0.8478

cost time: 212.49505972862244

