folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 8

P: 0.9880
R: 0.3228
F: 0.4866
AUC: 0.8226
P4C1: 0.2982
R4C1: 0.3864
F4C1: 0.3366
P4C2: 0.5000
R4C2: 0.0563
F4C2: 0.1013
P4C3: 0.8889
R4C3: 0.1151
F4C3: 0.2038
MacroP: 0.5624
MacroR: 0.1859
MacroF: 0.2139
FFF: 0.2972

260.2394530773163

