folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 7

P: 0.9886
R: 0.3425
F: 0.5088
AUC: 0.8350
P4C1: 0.2982
R4C1: 0.3864
F4C1: 0.3366
P4C2: 0.5000
R4C2: 0.0563
F4C2: 0.1013
P4C3: 0.9130
R4C3: 0.1511
F4C3: 0.2593
MacroP: 0.5704
MacroR: 0.1979
MacroF: 0.2324
FFF: 0.3190

253.0732593536377

