folder: data/VG_data
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 4

P: 0.5602
R: 0.6740
F: 0.6119
AUC: 0.9228
P4C1: 0.5403
R4C1: 0.1479
F4C1: 0.2322
P4C2: 0.2537
R4C2: 0.4513
F4C2: 0.3248
P4C3: 0.1002
R4C3: 0.6377
F4C3: 0.1732
MacroP: 0.2981
MacroR: 0.4123
MacroF: 0.2434
FFF: 0.3483

total time: 157.61424922943115

