folder: data/VG_data
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 7

P: 0.0361
R: 0.0677
F: 0.0471
AUC: 0.3607
P4C1: 0.0000
R4C1: 0.0000
F4C1: 0.0000
P4C2: 0.0054
R4C2: 0.0088
F4C2: 0.0067
P4C3: 0.0061
R4C3: 0.0870
F4C3: 0.0114
MacroP: 0.0038
MacroR: 0.0319
MacroF: 0.0060
FFF: 0.0107

total time: 158.3027684688568

