batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/Maldonado_data/
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
seed: 3
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.8520
R: 0.8882
F: 0.8697
AUC: 0.9904
P4C1: 0.7324
R4C1: 0.6887
F4C1: 0.7099
P4C2: 0.3866
R4C2: 0.6637
F4C2: 0.4886
P4C3: 0.4286
R4C3: 0.2609
F4C3: 0.3243
MacroP: 0.5159
MacroR: 0.5378
MacroF: 0.5076
FFF: 0.6411

cost time: 2779.805093765259

