batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 5
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 1

P: 0.9416
R: 0.9528
F: 0.9472
AUC: 0.9870
P4C1: 0.6809
R4C1: 0.7273
F4C1: 0.7033
P4C2: 0.7945
R4C2: 0.8169
F4C2: 0.8056
P4C3: 0.8175
R4C3: 0.8058
F4C3: 0.8116
MacroP: 0.7643
MacroR: 0.7833
MacroF: 0.7735
FFF: 0.8516

cost time: 347.75190448760986

