batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 2
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.9679
R: 0.9488
F: 0.9583
AUC: 0.9893
P4C1: 0.5962
R4C1: 0.7045
F4C1: 0.6458
P4C2: 0.6778
R4C2: 0.8592
F4C2: 0.7578
P4C3: 0.9065
R4C3: 0.6978
F4C3: 0.7886
MacroP: 0.7268
MacroR: 0.7538
MacroF: 0.7307
FFF: 0.8292

cost time: 202.63607668876648

