folder: data/VG_data
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 5

P: 0.1015
R: 0.3969
F: 0.1617
AUC: 0.4917
P4C1: 0.0000
R4C1: 0.0000
F4C1: 0.0000
P4C2: 0.0169
R4C2: 0.0088
F4C2: 0.0116
P4C3: 0.0083
R4C3: 0.2899
F4C3: 0.0161
MacroP: 0.0084
MacroR: 0.0996
MacroF: 0.0092
FFF: 0.0175

total time: 163.55053901672363

