batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 4
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.9453
R: 0.9528
F: 0.9490
AUC: 0.9920
P4C1: 0.7368
R4C1: 0.6364
F4C1: 0.6829
P4C2: 0.7089
R4C2: 0.7887
F4C2: 0.7467
P4C3: 0.7914
R4C3: 0.7914
F4C3: 0.7914
MacroP: 0.7457
MacroR: 0.7388
MacroF: 0.7403
FFF: 0.8318

cost time: 201.13638639450073

