folder: data/VG_data
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 8

P: 0.9921
R: 0.4921
F: 0.6579
AUC: 0.8911
P4C1: 0.2692
R4C1: 0.4773
F4C1: 0.3443
P4C2: 0.5769
R4C2: 0.2113
F4C2: 0.3093
P4C3: 0.7727
R4C3: 0.1223
F4C3: 0.2112
MacroP: 0.5396
MacroR: 0.2703
MacroF: 0.2882
FFF: 0.4009

total time: 399.7614634037018

