folder: data/Maldonado_data/
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 5

P: 0.9199
R: 0.7417
F: 0.8213
AUC: 0.9819
P4C1: 0.7470
R4C1: 0.6843
F4C1: 0.7143
P4C2: 0.4483
R4C2: 0.3451
F4C2: 0.3900
P4C3: 0.4000
R4C3: 0.0580
F4C3: 0.1013
MacroP: 0.5318
MacroR: 0.3625
MacroF: 0.4019
FFF: 0.5396

total time: 456.2291634082794

