folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 5

P: 0.9612
R: 0.3898
F: 0.5546
AUC: 0.8686
P4C1: 0.2969
R4C1: 0.4318
F4C1: 0.3519
P4C2: 0.4444
R4C2: 0.0563
F4C2: 0.1000
P4C3: 0.7667
R4C3: 0.1655
F4C3: 0.2722
MacroP: 0.5027
MacroR: 0.2179
MacroF: 0.2413
FFF: 0.3363

273.65760350227356

