folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 9

P: 0.9706
R: 0.3898
F: 0.5562
AUC: 0.8427
P4C1: 0.2807
R4C1: 0.3636
F4C1: 0.3168
P4C2: 0.3333
R4C2: 0.0423
F4C2: 0.0750
P4C3: 0.7778
R4C3: 0.2014
F4C3: 0.3200
MacroP: 0.4639
MacroR: 0.2024
MacroF: 0.2373
FFF: 0.3326

259.8752369880676

