folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 1

P: 0.9895
R: 0.3701
F: 0.5387
AUC: 0.8591
P4C1: 0.2787
R4C1: 0.3864
F4C1: 0.3238
P4C2: 0.2727
R4C2: 0.0423
F4C2: 0.0732
P4C3: 0.8261
R4C3: 0.1367
F4C3: 0.2346
MacroP: 0.4592
MacroR: 0.1884
MacroF: 0.2105
FFF: 0.3027

259.5950434207916

