folder: data/Maldonado_data/
batch_size: 64
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
device: cuda:1
model_name: scgru.pth
class_num: 4
seed: 0

P: 1.0000
R: 0.3504
F: 0.5190
AUC: 0.8692
P4C1: 0.3091
R4C1: 0.3864
F4C1: 0.3434
P4C2: 0.3333
R4C2: 0.0423
F4C2: 0.0750
P4C3: 0.8000
R4C3: 0.1439
F4C3: 0.2439
MacroP: 0.4808
MacroR: 0.1908
MacroF: 0.2208
FFF: 0.3098

254.2510769367218

