folder: data/Maldonado_data/
batch_size: 50
embed_dim: 300
epoch_num: 20
lr: 0.0001
seq_len: 128
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
device: cuda:1
model_name: textcnn.pth
class_num: 4
seed: 7

Evaluation
P4C1: 0.6841
R4C1: 0.7506
F4C1: 0.7158
P4C2: 0.6744
R4C2: 0.2566
F4C2: 0.3718
P4C3: 0.3889
R4C3: 0.1014
F4C3: 0.1609
MacroP: 0.5825
MacroR: 0.3695
MacroF: 0.4162
total time: 418.9033851623535

