batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/Maldonado_data/
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
seed: 4
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.8698
R: 0.8835
F: 0.8766
AUC: 0.9892
P4C1: 0.7381
R4C1: 0.7903
F4C1: 0.7633
P4C2: 0.5326
R4C2: 0.4336
F4C2: 0.4780
P4C3: 0.3971
R4C3: 0.3913
F4C3: 0.3942
MacroP: 0.5559
MacroR: 0.5384
MacroF: 0.5452
FFF: 0.6723

cost time: 2745.4155740737915

