batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/Maldonado_data/
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
seed: 1
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.8676
R: 0.8772
F: 0.8724
AUC: 0.9922
P4C1: 0.7409
R4C1: 0.7638
F4C1: 0.7522
P4C2: 0.4579
R4C2: 0.4336
F4C2: 0.4455
P4C3: 0.3382
R4C3: 0.3333
F4C3: 0.3358
MacroP: 0.5124
MacroR: 0.5103
MacroF: 0.5111
FFF: 0.6446

cost time: 2710.067940711975

