batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 6
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.9380
R: 0.9528
F: 0.9453
AUC: 0.9890
P4C1: 0.5957
R4C1: 0.6364
F4C1: 0.6154
P4C2: 0.7250
R4C2: 0.8169
F4C2: 0.7682
P4C3: 0.8244
R4C3: 0.7770
F4C3: 0.8000
MacroP: 0.7151
MacroR: 0.7434
MacroF: 0.7279
FFF: 0.8225

cost time: 202.95224356651306

