batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 1
class_num: 4
weight: 0.4
class_balance: RUS
threshold: 0.5
MTL: 1

P: 0.8926
R: 0.9488
F: 0.9198
AUC: 0.9743
P4C1: 0.5600
R4C1: 0.6364
F4C1: 0.5957
P4C2: 0.6235
R4C2: 0.7465
F4C2: 0.6795
P4C3: 0.7630
R4C3: 0.7410
F4C3: 0.7518
MacroP: 0.6488
MacroR: 0.7079
MacroF: 0.6757
FFF: 0.7791

cost time: 136.2553482055664

