batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/Maldonado_data/
train_file: data/Maldonado_data/preprocessed/train.jsonl
valid_file: data/Maldonado_data/preprocessed/valid.jsonl
test_file: data/Maldonado_data/preprocessed/test.jsonl
seed: 0
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.8608
R: 0.8567
F: 0.8587
AUC: 0.9906
P4C1: 0.7160
R4C1: 0.8013
F4C1: 0.7562
P4C2: 0.4545
R4C2: 0.3982
F4C2: 0.4245
P4C3: 0.5769
R4C3: 0.2174
F4C3: 0.3158
MacroP: 0.5825
MacroR: 0.4723
MacroF: 0.4989
FFF: 0.6311

cost time: 2739.765709400177

