batch_size: 32
token_max_length: 128
epoch_num: 10
embed_dim: 768
lr: 2e-05
weight_decay: 0.01
dropout: 0.1
device: cuda:1
model_name: FRoM.pth
folder: data/VG_data/
train_file: data/VG_data/preprocessed/train.jsonl
valid_file: data/VG_data/preprocessed/valid.jsonl
test_file: data/VG_data/preprocessed/test.jsonl
seed: 7
class_num: 4
weight: 0.4
class_balance: None
threshold: 0.5
MTL: 0

P: 0.9358
R: 0.9764
F: 0.9557
AUC: 0.9867
P4C1: 0.6389
R4C1: 0.5227
F4C1: 0.5750
P4C2: 0.7500
R4C2: 0.8028
F4C2: 0.7755
P4C3: 0.7843
R4C3: 0.8633
F4C3: 0.8219
MacroP: 0.7244
MacroR: 0.7296
MacroF: 0.7241
FFF: 0.8240

cost time: 204.75134539604187

